product_name,product_description,sku,target_market,manufacturer,internal_category,user_defined_tags,identifier,product_type
Apple iPhone 15 Pro Max 256GB Black Titanium,"The latest flagship smartphone from Apple with A17 Pro chip and advanced camera system. Costs $1,500 USD",IPHONE15PM256BLKTI,Consumer Electronics Retail,,,,,
Can of Diet Soda (355ml),,,,SodaStream Inc.,,,Can of Diet Soda (355ml),Beverage
Extra Large Box of Organic Blueberries,,,,,Produce,"Organic, Fruit, Wholesale, Bulk",Extra Large Box of Organic Blueberries,Fruit
Pack of 12 AA Duracell Batteries,,,,,,,Pack of 12 AA Duracell Batteries,battery
Family Pack of Whole Wheat Pasta 500g,Made from 100% whole grain durum wheat.,,,,Dry Goods,,Family Pack of Whole Wheat Pasta 500g,Pasta
Box of small white chocolates, 100g,Creamy white chocolate truffles with a soft center.,WHTCHOC100G,,,,,
Small Tin of Roasted Italian Coffee Beans,"Medium roast, arabica beans.",,,,,"Coffee, Beans, Italian, Roasted",Small Tin of Roasted Italian Coffee Beans,Coffee
Can of black beans (low sodium),,,,,Canned Goods,,Can of black beans (low sodium),Canned Goods
Pack of 5 Reusable Microfiber Cleaning Cloths,,,,,,,Pack of 5 Reusable Microfiber Cleaning Cloths,Cleaning Supplies
Noise-Cancelling Over-Ear Bluetooth Headphones,"40 hour battery life, deep bass, quick charge feature.",,,,Electronics Accessories,,Noise-Cancelling Over-Ear Bluetooth Headphones,Audio Equipment
24 Pack of Crystal Geyser Alpine Spring Water,,,"Grocery, Convenience",Crystal Geyser Water Company,,,24 Pack of Crystal Geyser Alpine Spring Water,Bottled water
Wireless Ergonomic Mouse, White,"Vertical design reduces wrist strain, 6 buttons, USB receiver included.",MOUSE-ERG-WHT-V2,,,,,
Dog Food, Large Breed Chicken & Rice (30 lb bag),"Formulated for adult large breed dogs, supports joint health.",DF-LC-R-30LB,,,,,
